rank,wallet_address,composite_score,win_rate,median_return_multiple,max_return_multiple,total_positions,distinct_tokens,big_wins_10x_plus,total_realized_pnl_usd,total_unrealized_pnl_usd,dip_buying_accuracy,top_selling_accuracy,avg_hold_duration_hours,active_months,last_active,trading_style,risk_flags,cluster_id
1,0x805B2cC2bA44B9b1a3c5a1927d17CaeB35aDD5Bf,46.6,1.0,1.0963,1.2067,7,1,0,57.55,-9.01,0.1429,0.5,0.23,1,2026-09-05T15:11:21+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
2,0x2412bF70B7a7fd19a83F40f347155f6FFf88B001,45.02,1.0,1.0527,1.0731,6,1,0,19.62,-2.74,0.0,0.6,0.16,1,2026-09-05T15:09:56+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
3,0xD6f5aDDDBc26c2E2D8DBd881dBc81A4C605e445E,41.05,0.8889,1.0872,1.1969,10,1,0,75.59,-1.38,0.1,0.4444,0.34,1,2026-09-05T15:09:44+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
4,0xbcD3f0621EaCB9c72818E41c620Eb186E878194B,40.99,0.8333,1.0352,1.1894,6,1,0,29.55,0,0.3333,0.3333,0.12,1,2026-09-05T15:10:08+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
5,0x7f124B9A74A3c813655fD147597dEf070Da5c115,37.75,0.8333,1.0446,1.2183,7,1,0,36.32,-1.46,0.0,0.5,0.35,1,2026-09-05T15:08:20+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
6,0x56f365F5701B7DdF8eBB27247617fCBB28fB8B21,37.21,0.8,1.0303,1.0985,6,1,0,12.49,-6.89,0.0,0.6,0.1,1,2026-09-05T15:11:33+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
7,0x6eb9915ca009c77B33607FD9B1d83ac4Abf85e2e,36.04,0.7778,1.0292,1.1961,10,1,0,23.6,-2.08,0.0,0.5556,0.21,1,2026-09-05T15:12:08+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
8,0x35e63bbA009C1D6332294a3370Cc8317079A5388,35.49,0.8333,1.2305,1.2906,6,1,0,20.91,0,0.0,0.1667,0.04,1,2026-09-05T11:10:07+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_f27359c7
9,0xCc8a0d686C77ee8c914BEaD18a26F158f270690d,33.13,0.8,1.0299,1.0432,6,1,0,11.58,-12.19,0.0,0.2,0.12,1,2026-09-05T15:14:09+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
10,0xbed4721cAC12305731Ffe086a2dF96feE8F5eF69,32.43,0.75,1.0659,1.0697,5,1,0,18.48,-13.89,0.2,0.0,7.43,2,2026-09-04T14:01:57+00:00,generalist,SINGLE_TOKEN_SAMPLE,cluster_b24d5564
11,0x0d6b08700F9A0f5e7DE49e7076F5354D1915f909,32.22,0.6,1.0142,1.3419,6,1,0,40.47,-19.89,0.1667,0.6,0.2,1,2026-09-05T15:07:43+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
12,0xeFbF4Fd8d48341C35991577fe10117c800795ee0,30.62,0.7143,1.015,1.0678,8,1,0,7.36,-8.92,0.0,0.2857,0.13,1,2026-09-05T15:04:32+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
13,0xECc95635d7385dd139230A4C7b36b6c8753Fd829,24.56,0.5,1.003,1.1598,8,1,0,11.17,0,0.0,0.5,0.07,1,2026-09-05T15:12:56+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
14,0x342810aC0a07F7f1f6F5f30a1FDF0be358e75B18,23.79,0.3333,0.7696,3.5378,9,1,0,206.52,0,0.4444,0.2222,0.56,1,2026-09-05T10:18:12+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_e2d541bd
15,0x17835351d65540c8e03ebB6D74bBf71a25c9cdeC,23.57,0.5294,1.005,1.0994,17,1,0,-124.78,0,0.1176,0.1176,0.02,2,2026-09-05T14:53:17+00:00,scalper,SINGLE_TOKEN_SAMPLE,
16,0x6Dd17Ff51c0B33c03FB3e51CA81447faEC545408,22.34,0.4286,1.0,1.0541,8,1,0,-5.44,-5.84,0.0,0.5714,0.14,1,2026-09-05T15:13:21+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
17,0xf52857d7FDB1ffDc7398f7D271113ce9e23d8ae4,22.16,0.4286,0.9985,1.0545,22,1,0,293.98,4.18,0.2727,0.1429,0.89,1,2026-09-05T15:01:06+00:00,scalper_whale_size,SINGLE_TOKEN_SAMPLE,
18,0x744b68D8ecFC86c614455B5Fc8f5723358De68CF,13.03,0.3333,0.8772,1.1063,3,1,0,-24.32,0,0.0,0.0,0.17,1,2026-09-05T11:21:04+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_f27359c7
19,0xde5d34705F2145541a75E49c5e8CC08F9Cd2d8Ce,12.55,0.0909,0.9992,1.0001,11,1,0,-0.05,0,0.5455,0.0909,0.01,2,2026-09-05T08:33:55+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2e9839d9
20,0x79CADb68a6302F89938717a81883ED6b7805AEf6,10.0,0.0,0.9519,0.9957,3,1,0,-7.78,0,0.6667,0.0,1.69,1,2026-09-05T12:45:23+00:00,dip_buyer_scalper,SINGLE_TOKEN_SAMPLE,cluster_79cadb68
21,0x70cf1B6e80aaE62Fe8e793EAc31870B9Ecf2D31A,7.78,0.0,0.9993,0.9996,9,1,0,-0.04,0,0.4444,0.1111,0.01,2,2026-09-05T14:55:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
22,0xF38013d1CAAA68251cD5FC0E0d18F3c97824374D,7.22,0.0,0.9993,0.9995,9,1,0,-0.25,0,0.3333,0.2222,0.01,2,2026-09-05T08:46:34+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
23,0x14FE9A5C647Fc916fe04FBD2822646d82AFA38D0,7.08,0.0,0.9992,0.9994,12,1,0,-0.06,0,0.4167,0.0833,0.01,2,2026-09-05T07:56:15+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2e9839d9
24,0x3A8982399F7a72f0B57f0833b87549bC37C1B523,6.87,0.0,0.9993,0.9994,8,1,0,-0.03,0,0.375,0.125,0.01,2,2026-09-05T11:25:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
25,0xB1dC1e88579B075Dc209EF2ec1224bF8130201D5,6.67,0.0,0.9992,0.9993,9,1,0,-0.31,0,0.4444,0.0,0.01,2,2026-09-05T10:20:15+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2e9839d9
26,0x977ae053E3A6909bA2bCfb1e316b6ff58606Ea56,6.14,0.0833,0.9994,1.0139,12,1,0,0.04,0,0.0833,0.1667,0.01,2,2026-09-05T07:49:34+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
27,0xB9358D13906Da9F0B30fC322508b03D055E1aBd9,5.29,0.0625,0.9993,1.0037,16,2,0,-0.27,0,0.1875,0.0,0.01,2,2026-09-05T14:07:15+00:00,scalper,DUST_ONLY,
28,0x470E6BE8B2e62F9E5f697Ee854FAF15036DB588E,4.29,0.0,0.9992,0.9993,7,1,0,-0.03,0,0.2857,0.0,0.01,2,2026-09-05T10:22:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2e9839d9
29,0x0630606D4abADdD08BE21506bC4585e57CF9fF98,3.75,0.0,0.9992,0.9993,8,1,0,-0.22,0,0.25,0.0,0.01,2,2026-09-05T14:02:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2e9839d9
30,0xf15168b7ADC036ce63EA44bBa723408d30dC4b4c,3.64,0.0,0.9993,0.9996,11,1,0,-0.04,0,0.1818,0.0909,0.01,2,2026-09-05T11:57:15+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
31,0x7676a8a3dF4b74d391BF519029e7C7768Ca2A282,3.0,0.0,0.9993,0.9994,5,1,0,-0.02,0,0.2,0.0,0.01,2,2026-09-05T04:33:34+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
32,0x505D2e7A715c9AF1D690204F43D75EaEa4EFaF10,3.0,0.0,0.9992,0.9993,5,1,0,-0.02,0,0.2,0.0,0.01,1,2026-09-05T10:40:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2e9839d9
