rank,wallet_address,composite_score,win_rate,median_return_multiple,max_return_multiple,total_positions,distinct_tokens,big_wins_10x_plus,total_realized_pnl_usd,total_unrealized_pnl_usd,dip_buying_accuracy,top_selling_accuracy,avg_hold_duration_hours,active_months,last_active,trading_style,risk_flags,cluster_id
1,0x35e63bbA009C1D6332294a3370Cc8317079A5388,35.49,0.8333,1.2305,1.2906,6,1,0,20.91,0,0.0,0.1667,0.04,1,2026-09-05T11:10:07+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_f27359c7
2,0xb1BC77CC39e059BdB4eeA82bF8eA71d5AE6c876F,32.28,0.6667,1.1346,1.6339,3,1,0,-48.75,0,0.3333,0.0,0.48,1,2026-09-05T15:51:12+00:00,scalper,SINGLE_TOKEN_SAMPLE,
3,0xbed4721cAC12305731Ffe086a2dF96feE8F5eF69,29.51,0.6,1.0632,1.0697,5,1,0,-15.01,0,0.4,0.0,12.33,2,2026-09-05T21:59:04+00:00,generalist,SINGLE_TOKEN_SAMPLE,cluster_b24d5564
4,0x47478832e81064f9078088b4a3f1A8358a612Cd9,24.84,0.5,1.0102,1.3444,4,1,0,-51.16,0,0.0,0.5,0.34,1,2026-09-05T16:49:48+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_2c58dc5c
5,0x0d6b08700F9A0f5e7DE49e7076F5354D1915f909,24.5,0.4,1.0142,1.3419,6,1,0,40.47,-19.89,0.1667,0.6,0.2,1,2026-09-05T15:07:43+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
6,0x805B2cC2bA44B9b1a3c5a1927d17CaeB35aDD5Bf,23.65,0.3636,1.0,1.2067,22,1,0,67.23,0,0.0455,0.8636,0.33,1,2026-09-05T17:54:24+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
7,0xCc8a0d686C77ee8c914BEaD18a26F158f270690d,22.78,0.4444,1.0,1.0432,9,1,0,11.58,0,0.0,0.5556,0.1,1,2026-09-05T16:14:49+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
8,0xD6f5aDDDBc26c2E2D8DBd881dBc81A4C605e445E,21.86,0.3333,1.0,1.1969,27,1,0,79.65,0,0.037,0.8148,0.41,1,2026-09-05T17:54:24+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
9,0xbcD3f0621EaCB9c72818E41c620Eb186E878194B,18.99,0.2381,1.0,1.1894,21,1,0,29.55,0,0.0952,0.8095,0.51,1,2026-09-05T17:54:24+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
10,0x7f124B9A74A3c813655fD147597dEf070Da5c115,17.73,0.2273,1.0,1.2183,22,1,0,36.32,0,0.0,0.8636,0.53,1,2026-09-05T17:54:32+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
11,0x503d58571E578EbD618b19e201a85DaC81f35122,17.46,0.2222,1.0,1.2534,27,1,0,61.9,0,0.0,0.8519,0.17,1,2026-09-05T17:52:36+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
12,0x6eb9915ca009c77B33607FD9B1d83ac4Abf85e2e,17.07,0.1852,1.0,1.1961,27,1,0,29.0,0,0.0,0.963,0.11,1,2026-09-05T17:53:36+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
13,0x6e951d31343d7875627d33E3CDF182B8547C256d,15.0,0.0,1.0,1.0,3,1,0,0.0,0,1.0,0.0,0.06,1,2026-09-05T11:26:52+00:00,dip_buyer_scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_2cef1019
14,0x2412bF70B7a7fd19a83F40f347155f6FFf88B001,14.9,0.15,1.0,1.0731,20,1,0,19.67,0,0.0,0.9,1.51,1,2026-09-05T17:54:24+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
15,0x56f365F5701B7DdF8eBB27247617fCBB28fB8B21,14.5,0.1364,1.0,1.0985,22,1,0,13.1,0,0.0,0.9091,0.85,1,2026-09-05T17:54:29+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
16,0x02Fa109B0aB5a5B32bc86FAFFC63a916835C5EEA,14.1,0.1111,1.0,1.1175,27,1,0,13.57,0,0.0,0.963,0.44,1,2026-09-05T17:54:25+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
17,0xeFbF4Fd8d48341C35991577fe10117c800795ee0,14.08,0.2857,1.015,1.0678,8,1,0,7.36,-8.92,0.0,0.2857,0.13,1,2026-09-05T15:04:32+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
18,0x744b68D8ecFC86c614455B5Fc8f5723358De68CF,13.03,0.3333,0.8772,1.1063,3,1,0,-24.32,0,0.0,0.0,0.17,1,2026-09-05T11:21:04+00:00,scalper,SINGLE_TOKEN_SAMPLE,cluster_f27359c7
19,0x79CADb68a6302F89938717a81883ED6b7805AEf6,12.86,0.0,0.9918,0.9957,7,1,0,-8.4,0,0.8571,0.0,0.81,1,2026-09-05T21:54:05+00:00,dip_buyer_scalper,SINGLE_TOKEN_SAMPLE,cluster_79cadb68
20,0x6Dd17Ff51c0B33c03FB3e51CA81447faEC545408,11.77,0.0714,1.0,1.0541,28,1,0,-5.44,0,0.0,0.8929,0.21,1,2026-09-05T17:45:23+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
21,0x17835351d65540c8e03ebB6D74bBf71a25c9cdeC,11.47,0.1667,1.0031,1.0994,18,1,0,-123.68,0,0.2222,0.1667,0.02,2,2026-09-06T05:37:57+00:00,scalper,SINGLE_TOKEN_SAMPLE,
22,0x1cc65D09d81e4656e72444217E201064226d2c3C,11.25,0.0,0.9992,0.9993,4,1,0,-0.02,0,0.75,0.0,0.01,1,2026-09-05T12:41:55+00:00,dip_buyer_scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
23,0xf15168b7ADC036ce63EA44bBa723408d30dC4b4c,10.45,0.0,0.9993,0.9996,11,1,0,-0.04,0,0.6364,0.0909,0.01,2,2026-09-05T11:57:15+00:00,dip_buyer_scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
24,0xECc95635d7385dd139230A4C7b36b6c8753Fd829,10.02,0.0,1.0,1.0126,28,1,0,1.11,0,0.0,1.0,0.07,1,2026-09-05T17:53:12+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
25,0x3A8982399F7a72f0B57f0833b87549bC37C1B523,10.0,0.0,0.9993,0.9994,9,1,0,-0.04,0,0.6667,0.0,0.01,2,2026-09-05T17:08:35+00:00,dip_buyer_scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
26,0xF38013d1CAAA68251cD5FC0E0d18F3c97824374D,10.0,0.0,0.9993,0.9995,11,1,0,-0.26,0,0.5455,0.1818,0.01,2,2026-09-05T16:50:55+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
27,0x505D2e7A715c9AF1D690204F43D75EaEa4EFaF10,10.0,0.0,0.9992,0.9993,9,2,0,-0.04,0,0.6667,0.0,0.01,1,2026-09-05T14:35:15+00:00,dip_buyer_scalper,DUST_ONLY,cluster_2e9839d9
28,0xad06Acf9A495f77a21E5c657E04B1E0258D23a32,10.0,0.0,1.0,1.0,25,1,0,-0.0,0,0.0,1.0,0.4,1,2026-09-05T17:54:29+00:00,top_seller_scalper,SINGLE_TOKEN_SAMPLE,cluster_ad06acf9
29,0xde5d34705F2145541a75E49c5e8CC08F9Cd2d8Ce,8.18,0.0,0.9992,1.0001,11,1,0,-0.05,0,0.5455,0.0,0.01,2,2026-09-05T08:33:55+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_470e6be8
30,0x14FE9A5C647Fc916fe04FBD2822646d82AFA38D0,6.25,0.0,0.9992,0.9994,12,1,0,-0.06,0,0.4167,0.0,0.01,2,2026-09-05T07:56:15+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_470e6be8
31,0x7676a8a3dF4b74d391BF519029e7C7768Ca2A282,6.0,0.0,0.9993,0.9994,5,1,0,-0.02,0,0.4,0.0,0.01,2,2026-09-05T04:33:34+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
32,0x977ae053E3A6909bA2bCfb1e316b6ff58606Ea56,5.85,0.0,0.9994,1.0139,12,1,0,0.04,0,0.3333,0.0833,0.01,2,2026-09-05T07:49:34+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
33,0xB1dC1e88579B075Dc209EF2ec1224bF8130201D5,5.0,0.0,0.9993,1.0,24,2,0,-0.49,0,0.3333,0.0,0.01,2,2026-09-05T17:41:35+00:00,scalper,DUST_ONLY,cluster_2e9839d9
34,0x70cf1B6e80aaE62Fe8e793EAc31870B9Ecf2D31A,5.0,0.0,0.9993,0.9996,9,1,0,-0.04,0,0.3333,0.0,0.01,2,2026-09-05T14:55:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_f15168b7
35,0xB9358D13906Da9F0B30fC322508b03D055E1aBd9,4.51,0.0,0.9993,1.0037,20,2,0,-0.29,0,0.3,0.0,0.01,2,2026-09-06T15:12:57+00:00,scalper,DUST_ONLY,cluster_2e9839d9
36,0x0630606D4abADdD08BE21506bC4585e57CF9fF98,3.75,0.0,0.9992,0.9993,8,1,0,-0.22,0,0.25,0.0,0.01,2,2026-09-05T14:02:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_470e6be8
37,0xf52857d7FDB1ffDc7398f7D271113ce9e23d8ae4,2.18,0.0,0.9983,1.0064,23,1,0,-263.07,0,0.0,0.2174,0.62,1,2026-09-06T16:10:05+00:00,scalper,SINGLE_TOKEN_SAMPLE,
38,0x470E6BE8B2e62F9E5f697Ee854FAF15036DB588E,2.14,0.0,0.9992,0.9993,7,1,0,-0.03,0,0.1429,0.0,0.01,2,2026-09-05T10:22:35+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_470e6be8
39,0x5740db16B0a5F853A18cb467F1F1cDaA07125Da1,2.14,0.0,0.9992,0.9993,7,1,0,-0.03,0,0.1429,0.0,0.01,2,2026-09-05T08:37:34+00:00,scalper,DUST_ONLY|SINGLE_TOKEN_SAMPLE,cluster_470e6be8
40,0xA7B5F842a0cf73B4866dd2eAA6dd78C8B71BD7B3,0.0,0.0,0.704,0.777,3,1,0,-631.72,2812.51,0.0,0.0,2.26,1,2026-08-29T20:53:35+00:00,scalper,SINGLE_TOKEN_SAMPLE,
